ID,Line,Severity,Issue summary,Issue description,Property names,Property values,Error blocks capability,Capabilities
67f41ebcc2c3e8556bd99223,5,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"<table style='min-width:360px'><thead><tr><th style='padding:10px'> </th><th style='color:#000000;font-weight:500;text-align:left;font-size:15px;padding:10px'>S/M</th><th style='color:#000000;font-weight:500;text-align:left;font-size:15px;padding:10px'>L/XL</th></tr></thead><tbody><tr><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>Circumference, in</td><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>21.26 - 22.76</td><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>22.36 - 23.86</td></tr><tr><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>Height, in</td><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>4.53</td><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>4.92</td></tr><tr><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>Width, in</td><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>6.61</td><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>6.61</td></tr><tr><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>Panel height, in</td><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>2.56</td><td style='padding:10px;color:#525252;font-size:15px;border-top:1px solid #ededed'>2.56</td></tr></tbody></table>
<p>The Closed-Back Structured Cap offers a sleek, sturdy look with maximum comfort. Made from a durable 63% polyester, 34% cotton, and 3% spandex twill blend, it’s designed with a structured 6-panel, mid-profile crown and a curved visor for a classic fit. <br /><br />The silver undervisor adds a subtle touch of style, while the stretch band ensures a snug, flexible fit for head circumferences ranging from 22”–23 7/8” (55.9 cm–60.6 cm). </p>
<p> </p>
<p>.: Material: 63% polyester, 34% cotton, 3% spandex twill<br />.: Structured, 6-panel, mid-profile (with a low-profile embroidery area)<br />.: 6 embroidered eyelets<br />.: Stretch band<br />.: Silver undervisor<br />.: Head circumference: 22”–23 7/8” (55.9 cm–60.6 cm)</p><br /><br /><p><strong>EU representative</strong>: Typotecture merch, branimir.sabljic&#64;gmail.com, Kriška 22, Zagreb, Europe , 10000, HR</p>
<p><strong>Product information</strong>: Flexfit 6277, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC</p>
<p><strong>Care instructions</strong>: Use warm water and dish soap and clean spots off your hat. It&#39;s not necessary to soak the whole item. For hard to clean spots use a soft bristled brush.</p>",False,mini_shops
67f41ebcc2c3e8556bd99223,5,Item not uploaded,Item belongs to Primary Feed Not Linked To Supplementary Feed,Item belongs to a primary feed which is not linked with supplementary feed updating the item.,id,67f41ebcc2c3e8556bd99223,False,
67f41ebcc2c3e8556bd99223,5,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,closed-back-structured-cap-embroidery,False,
67f41ebcc2c3e8556bd99223,5,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f77798a09e6c2d8ff2d65b,6,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"Rock a classic sweatshirt silhouette with ribbed crew neck, long sleeve cuffs, and a flat hem. Layer it up or wear it on its own for a contemporary streetwear look. With the soft fleece inside and comfortable fit, it’s sure to become your favorite everyday sweater right away!<br />
<br />
• 100% cotton face<br />
• 65% cotton, 35% polyester<br />
• Charcoal Heather is 55% cotton, 45% polyester<br />
• Fabric weight: 8.5 oz/y² (288.2 g/m²)<br />
• Tightly knit 3-end fleece <br />
• Side-seamed construction<br />
• Self-fabric patch on the back<br />
• Double-needle stitched rib collar, cuffs, and hem<br />
• Blank product sourced from Pakistan<br />
<br />
Disclaimer: This sweatshirt runs small. For the perfect fit, we recommend ordering one size larger than your usual size.<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!<br />
<br />
• Traceability:<br />
- Weaving—Pakistan<br />
- Dyeing—Pakistan<br />
- Manufacturing—Pakistan<br />
• Contains 0% recycled polyester<br />
• Contains 0% dangerous substances<br />
<br />
Age restrictions: For adults<br />
EU Warranty: 2 years<br />
Other compliance information: Meets the flammability, lead, cadmium, bisphenols and phthalates level requirements.<br />
<br />
In compliance with the General Product Safety Regulation (GPSR), <b>Typotecture</b> ensures that all consumer products offered are safe and meet EU standards. For any product safety related inquiries or concerns, please contact us at <b>typotecture.design&#64;gmail.com</b> or write to us <b>Kriška 22, 10000 Zagreb, Croatia, Europe.<b></b></b>",False,mini_shops
67f77798a09e6c2d8ff2d65b,6,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,unisex-premium-sweatshirt,False,
67f77798a09e6c2d8ff2d65b,6,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f77a19a09e6c2d8ff2d7e6,7,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"Everyone needs a cozy go-to hoodie to curl up in, so go for one that&#39;s soft, smooth, and stylish. It&#39;s the perfect choice for cooler evenings!<br />
<br />
• 50% pre-shrunk cotton, 50% polyester<br />
Heather Sport Dark Navy is 40% cotton, 60% polyester<br />
• Fabric weight: 8.0 oz/yd² (271.25 g/m²)<br />
• Air-jet spun yarn with a soft feel and reduced pilling<br />
• Double-lined hood with matching drawcord<br />
• Quarter-turned body to avoid crease down the middle<br />
• 1 × 1 athletic rib-knit cuffs and waistband with spandex<br />
• Front pouch pocket<br />
• Double-needle stitched collar, shoulders, armholes, cuffs, and hem<br />
• Blank product sourced from Bangladesh, Nicaragua, Honduras or El Salvador<br />
<br />
Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!<br />
<br />
Age restrictions: For adults<br />
EU Warranty: 2 years<br />
Other compliance information: Meets the formaldehyde, flammability, lead, cadmium and phthalates level requirements.<br />
<br />
In compliance with the General Product Safety Regulation (GPSR), <b>Typotecture</b> ensures that all consumer products offered are safe and meet EU standards. For any product safety related inquiries or concerns, please contact us at <b>typotecture.design&#64;gmail.com</b> or write to us <b>Kriška 22, 10000 Zagreb, Croatia, Europe.<b></b></b>",False,mini_shops
67f77a19a09e6c2d8ff2d7e6,7,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,lost-in-letters-unisex-hoodie,False,
67f77a19a09e6c2d8ff2d7e6,7,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f7bb381295da021ce208b8,8,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"A spacious and trendy tote bag to help you carry around everything that matters.<br />
<br />
• 100% polyester<br />
• Bag size: 15″ × 15″ (39 × 39 cm)<br />
• Capacity: 2.6 US gal (10 l)<br />
• Maximum weight limit: 44lbs (20 kg)<br />
• Dual handles made from 100% natural cotton bull denim<br />
• Handle length: 26″ (67 cm), width 1″ (2.5 cm)<br />
• The handles can slightly differ depending on the fulfillment location<br />
• Blank product components sourced from Israel<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!<br />
<br />
• Traceability:<br />
- Knitting—China<br />
- Dyeing—China<br />
- Manufacturing—Latvia<br />
• Contains 0% recycled polyester<br />
• Contains 0% dangerous substances<br />
• This item releases plastic microfibers into the environment during washing<br />
<br />
Age restrictions: For adults<br />
EU Warranty: 2 years<br />
Other compliance information: Meets the lead and cadmium level requirements.<br />
<br />
In compliance with the General Product Safety Regulation (GPSR), <b>Typotecture</b> ensures that all consumer products offered are safe and meet EU standards. For any product safety related inquiries or concerns, please contact us at <b>typotecture.design&#64;gmail.com</b> or write to us <b>Kriška 22, 10000 Zagreb, Croatia, Europe.<b></b></b>",False,mini_shops
67f7bb381295da021ce208b8,8,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,embrace-the-chaos-tote-bag,False,
67f7bb381295da021ce208b8,8,Item not uploaded,Item belongs to Primary Feed Not Linked To Supplementary Feed,Item belongs to a primary feed which is not linked with supplementary feed updating the item.,id,67f7bb381295da021ce208b8,False,
67f7bb381295da021ce208b8,8,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f818531295da021ce26ca8,9,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"A good long-sleeved shirt is a men&#39;s fashion must-have. Add this wardrobe essential to your collection, and have a great to-go option for a casual look, or a relaxed business outfit.<br />
<br />
• 100% cotton<br />
• Sport Grey is 90% cotton, 10% polyester<br />
• Classic fit with long sleeves and rib cuffs<br />
• Pre-shrunk jersey knit<br />
• Seamless double-needle 7⁄8&#39;&#39; (2.2 cm) collar<br />
• Double-needle bottom hem<br />
• Taped neck and shoulders<br />
• Quarter-turned to avoid crease down the middle<br />
<br />
Disclaimer: Due to the fabric properties, the White color variant may appear off-white rather than bright white.<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!<br />
<br />
• Traceability:<br />
- Knitting or weaving—Honduras<br />
- Dyeing—Honduras<br />
- Manufacturing—Honduras or Nicaragua<br />
• Contains 0% recycled polyester<br />
• Contains 0% dangerous substances<br />
<br />
Age restrictions: For adults<br />
EU Warranty: 2 years<br />
Other compliance information: Meets the EU REACH requirements.<br />
<br />
In compliance with the General Product Safety Regulation (GPSR), <b>Typotecture</b> ensures that all consumer products offered are safe and meet EU standards. For any product safety related inquiries or concerns, please contact us at <b>typotecture.design&#64;gmail.com</b> or write to us <b>Kriška 22, 10000 Zagreb, Croatia, Europe.<b></b></b>",False,mini_shops
67f818531295da021ce26ca8,9,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,mens-long-sleeve-shirt-1,False,
67f818531295da021ce26ca8,9,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f820d21295da021ce27866,10,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"Feel luxurious and comfy with this loungewear piece. The silky material and relaxed fit ensure ultimate comfort. Pair the pants with a matching top or mix them with other cozy items.<br />
<br />
• 100% polyester<br />
• Fabric weight: 2.65 oz./yd.² (90 g/m²)<br />
• Straight, relaxed fit<br />
• Decorative side seam piping<br />
• Blank product sourced from China<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!<br />
<br />
Age restrictions: For adults<br />
EU Warranty: 2 years<br />
<br />
In compliance with the General Product Safety Regulation (GPSR), <b>Typotecture</b> ensures that all consumer products offered are safe and meet EU standards. For any product safety related inquiries or concerns, please contact us at <b>typotecture.design&#64;gmail.com</b> or write to us <b>Kriška 22, 10000 Zagreb, Croatia, Europe.<b></b></b>",False,mini_shops
67f820d21295da021ce27866,10,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,womens-pajama-pants,False,
67f820d21295da021ce27866,10,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f832b6a09e6c2d8ff38501,11,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"You can never go wrong with a classic bomber jacket, especially when it’s high quality and made of recycled materials. This versatile bomber jacket will complement most outfits and styles, and keep you warm during the chillier days.<br />
<br />
• 100% recycled polyester<br />
• Fabric weight: 5.5 oz/yd² (156 g/m²)<br />
• Relaxed fit<br />
• Unisex sizing<br />
• Utility pocket on the sleeve<br />
• Rib-knit banding at collar, cuffs, and hem<br />
• Premium YKK zipper<br />
• Blank product sourced from China<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!<br />
<br />
Age restrictions: For adults<br />
EU Warranty: 2 years<br />
Other compliance information: Meets the lead, phthalates, formaldehyde, and flammability level requirements.<br />
<br />
In compliance with the General Product Safety Regulation (GPSR), <b>Typotecture</b> ensures that all consumer products offered are safe and meet EU standards. For any product safety related inquiries or concerns, please contact us at <b>typotecture.design&#64;gmail.com</b> or write to us <b>Kriška 22, 10000 Zagreb, Croatia, Europe.<b></b></b>",False,mini_shops
67f832b6a09e6c2d8ff38501,11,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,premium-recycled-bomber-jacket,False,
67f832b6a09e6c2d8ff38501,11,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f83beea09e6c2d8ff39110,12,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"Ever wonder what true luxury feels like? Treat yourself to an exclusive t-shirt made from the most premium quality cotton that’s softer than and twice as durable as regular cotton. The tee has a classic, regular fit and will be a great base for any smart or casual outfit.<br />
<br />
• 100% cotton<br />
• Fabric weight: 5.89 oz/yd² (200 g/m²) <br />
• Regular fit<br />
• Crew neck<br />
• Pill resistant<br />
• Better color retention after washes than regular cotton<br />
• Blank product sourced from Latvia<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!<br />
<br />
Age restrictions: For adults<br />
EU Warranty: 2 years<br />
Other compliance information: Meets the EU REACH requirements.<br />
<br />
In compliance with the General Product Safety Regulation (GPSR), <b>Typotecture</b> ensures that all consumer products offered are safe and meet EU standards. For any product safety related inquiries or concerns, please contact us at <b>typotecture.design&#64;gmail.com</b> or write to us <b>Kriška 22, 10000 Zagreb, Croatia, Europe.<b></b></b>",False,mini_shops
67f83beea09e6c2d8ff39110,12,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,lost-in-letters-mens-premium-cotton-t-shirt,False,
67f83beea09e6c2d8ff39110,12,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f84e20f9030e1b1d4f9a13,13,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"Master your urban look with an oversized t-shirt—a must-have streetwear piece. Crafted from heavyweight fabric, it offers unmatched comfort and durability. The breathable, moisture-wicking cotton will keep you comfortable in any season, while the relaxed fit ensures a cool, laid-back vibe.<br />
<br />
• 100% premium carded cotton<br />
• Fabric weight: 6.5 oz./yd.² (220 g/m²)<br />
• High moisture absorbency<br />
• Unisex style <br />
• Oversized fit with drop shoulders<br />
• Ribbed collar<br />
• Blank product sourced from Bangladesh<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!<br />
<br />
Age restrictions: For adults<br />
EU Warranty: 2 years<br />
Other compliance information: Meets the EU REACH requirements.<br />
<br />
In compliance with the General Product Safety Regulation (GPSR), <b>Typotecture</b> ensures that all consumer products offered are safe and meet EU standards. For any product safety related inquiries or concerns, please contact us at <b>typotecture.design&#64;gmail.com</b> or write to us <b>Kriška 22, 10000 Zagreb, Croatia, Europe.<b></b></b>",False,mini_shops
67f84e20f9030e1b1d4f9a13,13,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,oversized-heavyweight-t-shirt,False,
67f84e20f9030e1b1d4f9a13,13,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f8522c1295da021ce2b654,14,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"It’s too easy to fall in love with this bikini set. Removable pads and its double-layer make it comfy to wear all day by the pool or at the beach.<br />
<br />
• Fabric composition in the EU: 88% recycled polyester, 12% elastane<br />
• Fabric weight in the EU (may vary by 5%): 6.78 oz/yd² (230 g/m²)<br />
• Fabric composition in the US: 81% REPREVE recycled polyester, 19% LYCRA XTRALIFE <br />
• Fabric weight in the US (may vary by 5%): 7.52 oz/yd² (255g/m²)<br />
• Double-layered and non-reversible<br />
• Removable padding<br />
• Tear-away care label<br />
• Zig-zag stitching<br />
• Blank product components in the EU sourced from Spain, Germany, Taiwan, Vietnam, Cambodia, and Lithuania<br />
• Blank product components in the US sourced from Colombia, Taiwan, and China<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!<br />
<br />
Age restrictions: For adults<br />
EU Warranty: 2 years<br />
Other compliance information: Meets the flammability, and formaldehyde, azo dyes, lead, cadmium, bisphenols, and phthalates level requirements.<br />
<br />
In compliance with the General Product Safety Regulation (GPSR), <b>Typotecture</b> ensures that all consumer products offered are safe and meet EU standards. For any product safety related inquiries or concerns, please contact us at <b>typotecture.design&#64;gmail.com</b> or write to us <b>Kriška 22, 10000 Zagreb, Croatia, Europe.<b></b></b>",False,mini_shops
67f8522c1295da021ce2b654,14,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,embrace-the-chaos-recycled-high-waisted-bikini,False,
67f8522c1295da021ce2b654,14,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f856aef9030e1b1d4fa293,15,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"This one-piece swimsuit for all figures will bring out your best features. Enjoy the smooth fabric and the flattering design, and show it off by the sea or pool!<br />
<br />
• 82% Polyester, 18% Spandex<br />
• Fabric weight: 6.78 oz/yd² (230 g/m²), weight may vary by 5%<br />
• Chlorine-resistant fabric<br />
• Cheeky fit with a scoop neckline and a low scoop back<br />
• Zig-zag stitching<br />
• Double-layer front <br />
• Four-way stretch material stretches and recovers on the cross and lengthwise grains<br />
<br />
This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!<br />
<br />
• Traceability:<br />
- Knitting—China<br />
- Dyeing—China<br />
- Manufacturing—Latvia<br />
• Contains 0% recycled polyester<br />
• Contains 0% dangerous substances<br />
• This item releases plastic microfibers into the environment during washing<br />
<br />
Age restrictions: For adults<br />
EU Warranty: 2 years<br />
Other compliance information: Meets the flammability, and formaldehyde, azo dyes, lead, cadmium, bisphenols, and phthalates level requirements.<br />
<br />
In compliance with the General Product Safety Regulation (GPSR), <b>Typotecture</b> ensures that all consumer products offered are safe and meet EU standards. For any product safety related inquiries or concerns, please contact us at <b>typotecture.design&#64;gmail.com</b> or write to us <b>Kriška 22, 10000 Zagreb, Croatia, Europe.<b></b></b>",False,mini_shops
67f856aef9030e1b1d4fa293,15,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,one-piece-swimsuit,False,
67f856aef9030e1b1d4fa293,15,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
